"","No.","Title","Length","No..1","Title.1","Length.1","album","Num","title"
"1",1,"""Firebreather""","4:24",1,"""Digital Sea""","3:44","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._I_%26_II",1,"Firebreather"
"2",2,"""The Messenger""","2:09",2,"""Open Water""","3:46","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._I_%26_II",2,"The Messenger"
"3",3,"""Backdraft""","4:08",3,"""Lost Continent""","4:30","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._I_%26_II",3,"Backdraft"
"4",4,"""The Arsonist""","4:13",4,"""Night Diving""","6:02","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._I_%26_II",4,"The Arsonist"
"5",5,"""Burn the Fleet""","3:46",5,"""The Whaler""","4:09","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._I_%26_II",5,"Burn the Fleet"
"6",6,"""The Flame Deluge""","3:27",6,"""Kings Upon the Main""","4:56","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._I_%26_II",6,"The Flame Deluge"
"7",1,"""Broken Lungs""","4:14",1,"""Moving Mountains""","2:55","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._III_%26_IV",1,"Broken Lungs"
"8",2,"""The Sky is Falling""","4:21",2,"""Digging My Own Grave""","3:04","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._III_%26_IV",2,"The Sky is Falling"
"9",3,"""A Song for Milly Michaelson""","5:07",3,"""The Earth Isn't Humming"" (Frodus cover)","4:58","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._III_%26_IV",3,"A Song for Milly Michaelson"
"10",4,"""Daedalus""","6:00",4,"""The Lion and the Wolf""","2:42","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._III_%26_IV",4,"Daedalus"
"11",5,"""As the Crow Flies""","2:22",5,"""Come All You Weary""","4:08","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._III_%26_IV",5,"As the Crow Flies"
"12",6,"""Silver Wings""","2:10",6,"""Child of Dust""","3:09","https://en.wikipedia.org/wiki/The_Alchemy_Index_Vols._III_%26_IV",6,"Silver Wings"
